Room_No,Room_Capacity
N101,80
N102,80
N103,80
N106,80
N107,80
S102,80
S103,80
S301,80
S302,80
S303,80
S306,80
S307,80
N301,80
N302,80
N303,80
N306,80
N307,80
S311-B,80
S311-C,80
S311-D,80
N311-B,80
N311-C,80
N311-D,80
N304E,80
N112-A,80
N112-B,80
N112-C,80
N112-D,80
S201,80
S202,80
S203,80
S206,80
S207,80
N201,80
N202,80
N203,80
N206,80
N207,80
A201-A,80
A201-B,80
A201-C,80
A207-A,80
A207-B,80
A207-C,80
N204-B,45
N204-C,45
N204-G,45
N204-H,45
N204-I,45
N204-J,45
N204-K,45
N209-A,45
N209-B,45
N209-C,45
N209-D,45
N209-E,45
N204-A,45
N304-A,45
N304-B,45
N304-C,45
N304-D,45
N304-H,45
N304-I,45
N304-J,45
N309-A,45
N309-B,45
N309-C,45
N309-D,45
S305-A,20
S305-B,20
S305-C,20
N305-B,20
N305-C,20
S205-A,20
S205-B,20
S205-C,20
N205-A,20
N205-B,20
N205-C,20
N204-E,20
