Semester,Branch_Name,Course_Code
S1,Artificial Intelligence and Engineering,22MAT110
S1,Artificial Intelligence and Engineering,22PHY106
S1,Artificial Intelligence and Engineering,22AIE101
S1,Artificial Intelligence and Engineering,22AIE102
S1,Artificial Intelligence and Engineering,22MAT121
S1,Artificial Intelligence and Engineering,22ADM101
S1,Artificial Intelligence and Engineering,23ENG101
S1,Artificial Intelligence and Engineering,22AVP103
S2,Artificial Intelligence and Engineering,22MAT122
S2,Artificial Intelligence and Engineering,22AIE111
S2,Artificial Intelligence and Engineering,22AIE112
S2,Artificial Intelligence and Engineering,22AIE113
S2,Artificial Intelligence and Engineering,22AIE114
S2,Artificial Intelligence and Engineering,22AIE115
S2,Artificial Intelligence and Engineering,22ADM111
