Semester,Branch_Name,Course_Code
S1,Computer Science and Engineering,23ENG101
S1,Computer Science and Engineering,23MAT107
S1,Computer Science and Engineering,23CSE101
S1,Computer Science and Engineering,23EEE104
S1,Computer Science and Engineering,23CSE102
S1,Computer Science and Engineering,22ADM101
S1,Computer Science and Engineering,22AVP103
S2,Computer Science and Engineering,23MAT116
S2,Computer Science and Engineering,23MAT117
S2,Computer Science and Engineering,23CSE111
S2,Computer Science and Engineering,23PHY115
S2,Computer Science and Engineering,23CSE113
S2,Computer Science and Engineering,23MEE115
S2,Computer Science and Engineering,22ADM111
