Semester,Branch_Name,Course_Code
S1,Electronics and Communication and Engineering,23ECE101
S1,Electronics and Communication and Engineering,23MAT124
S1,Electronics and Communication and Engineering,23ECE102
S1,Electronics and Communication and Engineering,23ECE103
S1,Electronics and Communication and Engineering,23ECE104
S1,Electronics and Communication and Engineering,23ECE105
S1,Electronics and Communication and Engineering,23ECE181
S1,Electronics and Communication and Engineering,23ECE182
S1,Electronics and Communication and Engineering,22ADM101
S1,Electronics and Communication and Engineering,22AVP103
S2,Electronics and Communication and Engineering,23MAT130
S2,Electronics and Communication and Engineering,23ECE111
S2,Electronics and Communication and Engineering,23ECE112
S2,Electronics and Communication and Engineering,23ECE114
S2,Electronics and Communication and Engineering,23ECE183
S2,Electronics and Communication and Engineering,23ECE184
S2,Electronics and Communication and Engineering,23ECE185
S2,Electronics and Communication and Engineering,23ENG101
S2,Electronics and Communication and Engineering,22ADM111
