Semester,Branch_Name,Course_Code
S1,Electrical and Computer Engineering,23ENG101
S1,Electrical and Computer Engineering,23MAT122
S1,Electrical and Computer Engineering,23ELC101
S1,Electrical and Computer Engineering,23MEE102
S1,Electrical and Computer Engineering,23MEE182
S1,Electrical and Computer Engineering,22ADM101
S1,Electrical and Computer Engineering,22AVP103
S2,Electrical and Computer Engineering,23MAT125
S2,Electrical and Computer Engineering,23ELC111
S2,Electrical and Computer Engineering,23ELC112
S2,Electrical and Computer Engineering,23ELC113
S2,Electrical and Computer Engineering,23ELC114
S2,Electrical and Computer Engineering,23EEE183
S2,Electrical and Computer Engineering,23ELC181
S2,Electrical and Computer Engineering,22ADM111
